id,title,author,isbn,sab,shelf,subject,other
dppvj3b4b8jw726d,"Det naturliga : en kritik av queerteorin, transhumanismen och det digitala livet","Svenaeus, Fredrik, 1966-",9789178444076,Dh,Dh,"Kroppsuppfattning Queerteori Kropp Body Queerteori Queer theory Kritik Criticism Könsidentitet  Gender identity Filosofi Philosophy  Människokroppen Digitalisering Body image Queer theory Människan Människokroppen Filosofiska aspekter Kroppsuppfattning Queerteori Digitalisering Sociala aspekter","Ingen kommentar"
11166487,"Andens fenomenologi","Hegel, Georg Wilhelm Friedrich, 1770-1831, Manning Delaney, Brian, Wallenstein, Sven-Olov, 1960-",9789172350687,D,D,"Fenomenologi Filosofi","Ingen kommentar"
12298170,"Att läsa Hegel","Burman, Anders, 1971-, Bartonek, Anders, 1977-, Adorno, Theodor W., 1903-1969",9789186273279,Oc:d,D,"Hegel, Georg Wilhelm Friedrich, 1770-1831 Politisk filosofi Filosofer Hegelianism","Ingen kommentar"
10006876,"Nio gånger Pinter","Pinter, Harold, 1930-2008",9188858197,He.02=c,He.02=c,"Monologer Skönlitteratur Dramatik","Ingen kommentar"
22606119,"Land and the given economy : the hermeneutics and phenomenology of dwelling","Mei, Todd S.","0810134063 (invalid) 9780810134065 (invalid)",D,D,"""Real Estate, Housing & Land Use""","Ingen kommentar"
kvcqlzwphf2v1g8l,"Världen själv","Danielsson, Ulf, 1964-",9789188589873,Uaa,Uaa,"Teoretisk fysik","Ingen kommentar"
4g8zb2wh2026x51w,"Antikapitalism : strategier och möjligheter i det tjugoförsta århundradet","Wright, Erik Olin, Sjödén, Nils, 1945-",9789171735904,Qaabm,Oc,"Globala rättviserörelsen Kapitalism Capitalism Anti-globalization movement","Ingen kommentar"
22487710,"Donutekonomi : sju principer för en framtida ekonomi","Raworth, Kate, Kollberg, Linus, 1983-",9789171735294,Qaac,Qaac,"Hållbar utveckling Ekonomiska prognoser Nationalekonomi Economic forecasting Sustainable development Economics -- social aspects Economics -- environmental aspects","Ingen kommentar"
13589183,"Studio Olafur Eliasson : an encyclopedia","Eliasson, Olafur, 1967-, Engberg-Pedersen, Anna, Ursprung, Philip","3836527278 9783836527279",Ibz,Ibz,"Olafur Eliasson, 1967- Studio Eliasson Fotografi Photography","Ingen kommentar"
21705902,"Duty free art","Steyerl, Hito",9781786632432,Ib.6,Ib.6,"Modern konst Konstfilosofi Modern konst Art, Modern Art, Modern ART / Criticism & Theory. ART / Art & Politics. ART / History / General. Art, Modern","Ingen kommentar"
11174386,"Edward Carpenter : a life of liberty and love","Rowbotham, Sheila",9781844672950,Lz,Lz,"Carpenter, Edward, 1844-1929 Engelska poeter Sociala reformatorer Social reformers Poets, English Homosexuella","Ingen kommentar"
19420032,"Toward an aesthetics of living beings = Zu einer Ästhetik des Lebendigen","Oetker, Brigitte., Riechelmann, Cord, 1960-","9783956791802 3956791800",Iaa,Iaa,"Konstestetik Kunst. Ästhetik. Aesthetics Aufsatzsammlung","Ingen kommentar"
19374175,"Matousch : Kristina Matousch : selected works : 2015-1999","Matousch, Kristina, 1974-, Truax, Stephen, Soneryd, Jens, 1971-",9789179361181,Ibz,Ibz,"Matousch, Kristina, 1974- Svensk konst Art, Swedish","Ingen kommentar"
11883266,"Lina Selander : the space of memory","Selander, Lina, 1973-",9789197859813,Ibz,Ibz,"Selander, Lina, 1973- Konstnärer Videokonst Installationer (konst) Video art","Ingen kommentar"
10465722,"Hundens blick : strövtåg i ""samtiden""","Granath, Olle, 1940-",9789173311236,Ia,Ia,"Konst Art","Ingen kommentar"
19801968,"Konst, kor och kärlek på Wanås slott","Wachtmeister, Marika, 1950-, Wachtmeister, Carl-Gustaf, 1949-, Norrsell, Anders, 1960-",9789188439048,Lz,Lz,"Wachtmeister, Carl-Gustaf, 1949- Wachtmeister, Marika, 1950- Wanås slott Konstutställningar Skulpturparker Slott Palaces Art - Exhibitions Sculpture parks","Ingen kommentar"
19461156,"Publishing as artistic practice","Gilbert, Annette, 1975-","3956791770 9783956791772",Ad,I,"Publicering Bokförlag Bokutgivning Publishers and publishing. Book industries and trade Publishers and publishing Publishers and publishing Publishers and publishing","Ingen kommentar"
13915730,"Aisthesis : scenes from the aesthetic regime of art","Rancière, Jacques, 1940-, Paul, Zakir","9781781680896 1781680892",Df,I,"Estetik Konstestetik Aesthetics, Modern. Konstteori Filmteori Filmen och konsten Aesthetics Aesthetics Theory Art and the cinema","Ingen kommentar"
v52hxfj5sc1z2hq8,"Climate changed : a personal journey through the science","Squarzoni, Philippe","1419712551 (invalid) 9781419712555 (invalid)",U,U,"Klimatförändringar","Ingen kommentar"
5007413,"Robert Smithson: the collected writings","Smithson, Robert, 1938-1973, Flam, Jack","0520203852 9780520203853",Ibz,Ibz,"Smithson, Robert, 1938-1973 Estetik Art Aesthetics","Ingen kommentar"
18467231,"Bio art : altered realities","Myers, William","9780500239322 0500239320",Ibvz,Ibvz,"Naturen i konsten Konst och vetenskap Biotechnology in art. Science in art. Nature in art. Art and science. Art and technology. Art and science Nature in art","Ingen kommentar"
19593827,"Yayoi Kusama : i oändligheten","Kusama, Yayoi, 1929-, Laurberg, Marie, Rydal Jörgensen, Laerke, Juul Holm, Michael, Moderna Museet","9789186243753 9788792877543",Ibz,Ibz,"Kusama, Yayoi, 1929-","Ingen kommentar"
8817982,"Leviatan från Göteborg : paracetologiska digressioner : Malmska valen, Göteborgsvitsen, Jona-komplexet och Moby Dick","Grönberg, Cecilia, 1970-, Magnusson, Jonas J., 1966-",9197363650,Ugfe,Ugfe,"Malm, August Wilhelm, 1821-1882 Göteborgs naturhistoriska museum Valar Cetacea Göteborg Naturhistoriska museet(Göteborg)","Ingen kommentar"
18242092,"Crafting exhibitions","Gali, André, 1976-, Lind, Maria, 1966-, Zamecznik, Marianne, Adamson, Glenn, Ylvisåker, Anne Britt, Ugelstad, Trude G.",9783897904293,Iit,I,"Konsthantverk Utställningsteknik Decorative arts Museum exhibits","Ingen kommentar"
18553185,"Portraits : John Berger on artists / by John Berger ; edited by Tom Overton","Berger, John, 1926-2017., Overton, Tom",9781784781767,Ibz,I,"Authors, English Art critics Authors, English Konstkritiker Författare Authors Great Britain Art critics","Ingen kommentar"
22665152,"Nicholas Mangan: Limits to growth","Burns, Aileen.","9783956792526 3956792521",Ibz,Ibz,"Mangan, Nicholas, 1979- Installationer (Konst) Konstnärer Artists Installations (Art) Multimedia (Art) Art, Australian Installations (Art)","Ingen kommentar"
22415105,"Öyvind Fahlström : Ade-Ledic-Nander","Olsson, Jesper, Liew, Fredrik, 1978-, Moderna museet",9789186243944,Ie-c,Ie-c,"Fahlström, Öyvind, 1928-1976","Ingen kommentar"
22414965,"Manipulera världen : aktivera Öyvind Fahlström","Fahlström, Öyvind, 1928-1976, Liew, Fredrik, 1978-, Hahr, Teresa, 1966-, Moderna museet",9789186243913,Ibz,Ibz,"Fahlström, Öyvind, 1928-1976","Ingen kommentar"
